theta,d,Z
0.1993565282504498,-0.006624711300770761,-2855.88952
0.7089666221724176,0.09091529136400811,-1593.827046
0.14390555427151575,-0.06758042615873783,-1333.473513
0.7050236027338624,0.07315718964058951,-939.69636
0.5066536794813254,0.0958662259678015,252.5663921
0.7543128877374964,-0.031001108488149298,939.69636
0.8283628186101724,-0.04981346884054974,1652.566392
0.9330919485116331,-0.08321506146752111,2000.382551
0.4445600001811165,0.0001410273348119162,2118.47054
0.8405432001577026,-0.0907664913012472,2455.013785
0.5962807056280494,-0.06376451006156376,2518.423945
0.3515676924194798,-0.0394710019661513,2668.460291
0.8663477633753086,0.08283796365702448,2770.755591
0.07348698571896295,-0.026926178428457334,2800.0
0.5674752387047218,-0.0029434354086133457,2876.0
0.6851001785278305,0.07328059287011121,2920.0
0.4683559640787134,-0.04293299421781763,2966.0
0.4770547653139132,-0.017566428766111142,3000.0
0.3800376124512307,-0.004012790056233603,2876.470855
0.2490465769238257,0.04202724372241792,2800.0
0.8019339478489703,-0.08489628822625173,2984.587371
0.12411448071066811,-0.08867000293234209,2999.730712
0.7643036332751744,0.049262207398198116,2990.515084
0.5023016623562908,0.042788277195750624,2990.405475
0.3332386163922708,0.02252638876213571,2979.49114
0.17618155543209457,-0.007407207906776514,2880.111282
0.47012681817813573,0.08188890526188605,2874.28222
0.6875687493144215,0.00463288797322714,2827.993174
0.38638471823950993,0.02909800829581649,3000.0
0.6184465637408708,0.0884014367989518,3000.0
0.9609208424836664,0.037291119732630496,2970.342738
0.5603981229947875,-0.0970416005416011,2909.13424
0.24367231012066448,0.09005501064997587,2789.817064
0.18500443521166443,0.02298535636072134,2673.062244
0.08140840077983247,0.024967210847875634,2770.962765
0.04681450942529353,0.09596306816889552,2984.158033
0.11061603040825452,-0.032079835861181974,2989.000867
0.8914945451794146,0.012472068751209056,2984.910405
0.9431632859045308,-0.05940231360964157,2990.243098
0.09597302543351394,0.010510206296465957,2991.49298
0.8580014256621676,-0.05838217755946049,2988.068941
0.36296526923284256,0.0017389284903580882,2988.587673
0.9217241516653142,-0.09299451557064593,3000.0
0.716008213205101,-0.09588267083869227,3000.0
0.6652383632368513,-0.05454108920403533,2988.653315
0.8509782029722979,-0.0867260677586609,2972.95295
0.0009577354552064987,0.07917158249222453,3000.0
0.9787993363021965,-0.08799074759818502,2988.879802
0.41278736784755143,-0.04057575689806117,2990.086531
0.2800357087993447,-0.07290753148032679,3000.0
