theta,d,Z
0.08007886916068163,0.035191623680631,-2855.88952
0.33798233794074317,-0.018843959347651595,-1593.827046
0.17709383833066827,-0.02734807468871954,-1333.473513
0.601756753929514,-0.0746087437278539,-939.69636
0.3778343372649773,0.08613303603178846,252.5663921
0.04592065743697782,0.08617873902340209,939.69636
0.22510807446915038,0.0847980395015033,1652.566392
0.8377837110825138,0.08620200137323944,2000.382551
0.7886408051060327,0.039626527821063934,2118.47054
0.4826649900237592,-0.0473044392851211,2455.013785
0.18545251699035148,0.020317370015730904,2518.423945
0.2816492793840498,0.03659404055725296,2668.460291
0.7140303392372995,0.042146970305200704,2770.755591
0.061774640557407,-0.07373379484872099,2800.0
0.89646850891154,-0.05131767610187091,2876.0
0.1620892130904109,-0.03238221300680476,2920.0
0.22177670372347869,0.0721344583767399,2966.0
0.11569549426141712,0.08554062232011411,3000.0
0.9831899897453736,-0.09943849306695125,2876.470855
0.22509546082618248,-0.018765653063147703,2800.0
0.1776749069300564,-0.056118235474618854,2984.587371
0.22431374394208103,-0.07936057848691239,2999.730712
0.9395089282505623,0.06681200422383107,2990.515084
0.6318482839263616,0.015502936643180698,2990.405475
0.8552107129401576,-0.0944525661660086,2979.49114
0.824697356803366,-0.07894082324847079,2880.111282
0.4014200409374459,0.02924380636078347,2874.28222
0.9568420540957961,-0.07647519872060292,2827.993174
0.01137538039337227,0.03956047801144613,3000.0
0.8322704641978393,-0.05750678835856731,3000.0
0.07417371154135877,0.06364124464786802,2970.342738
0.8233965339434621,-0.04056042478191917,2909.13424
0.4246737059323703,-0.06180247675101345,2789.817064
0.8961166611885276,-0.010938090311855247,2673.062244
0.6738889752915239,0.07716610996763848,2770.962765
0.4455320086757232,0.09297582638554575,2984.158033
0.07233691752430438,-0.03302108213639887,2989.000867
0.20354878475797777,-0.07971989238625546,2984.910405
0.3839732517926079,-0.09011485652747597,2990.243098
0.5848674735269351,0.07879783392478173,2991.49298
0.8204175668457769,0.045119279061443696,2988.068941
0.9021581781511979,-0.07403792490452957,2988.587673
0.19469336369414247,-0.07461146354741897,3000.0
0.7278539869769738,-0.08161369521683648,3000.0
0.7897589081345622,0.021590706353200706,2988.653315
0.2784178396950642,-0.05585102213336066,2972.95295
0.16070756796515506,0.01061201160104848,3000.0
0.8840735554031632,-0.02684389329307231,2988.879802
0.6438839706263126,-0.0024571936326590327,2990.086531
0.2866092740283325,-0.09453638102569042,3000.0
